"category","product_code","product_name","language","docx_path","updated_at","notes"
"Cellular control panels","CG17","Cellular security control panel CG17","en","/Volumes/TRIKDIS/PRODUKTAI/CG17/_ENG/CG17_UM_ENG 2024 11 29.docx","2025-10-30",""
"Apsaugos centrelės","CG17","GSM apsaugos centralė CG17","lt","/Volumes/TRIKDIS/PRODUKTAI/CG17/_LT/CG17_UM_LT_2024 11 29.docx","2025-10-30",""
"Paneles de control celular","CG17","Celular panel de control CG17","es","/Volumes/TRIKDIS/PRODUKTAI/CG17/_ES/CG17_UM_ESP 2024 11 29.docx","2025-10-30",""
"GPRS/GSM охранные панели","CG17","GSM oхранная панель CG17","ru","/Volumes/TRIKDIS/PRODUKTAI/CG17/_RU/CG17_UM_RU_2024 11 29.docx","2025-10-30",""
"Cellular control panels","SP3_KIT","FLEXi SP3 KIT","en","","2025-10-30","No separate manual found; reuse SP3 TAIM manual"
"Controllers","GATOR_CELL","GATOR Cellular Gate Controller","en","/Volumes/TRIKDIS/PRODUKTAI/Gator/_ENG/GATOR_UM_ENG_2025 10 16.docx","2025-10-30",""
"Valdikliai","GATOR_CELL","Gator","lt","/Volumes/TRIKDIS/PRODUKTAI/Gator/_LT/Gator_UM_LT_2025 10 16.docx","2025-10-30",""
"Controladores","GATOR_CELL","Gator","es","/Volumes/TRIKDIS/PRODUKTAI/Gator/_ESP/GATOR_UM_ESP 2025 10 16.docx","2025-10-30",""
"Контроллеры","GATOR_CELL","Контроллер управления воротами GATOR","ru","/Volumes/TRIKDIS/PRODUKTAI/Gator/_RU/Gator_UM_RU_2025 10 16.docx","2025-10-30",""
"Controllers","GATOR_WIFI","GATOR WiFi Gate Controller","en","/Volumes/TRIKDIS/PRODUKTAI/Gator WiFi/_ENG/Gator WiFi_UM_ENG_2025 03 25.docx","2025-10-30",""
"Valdikliai","GATOR_WIFI","Gator Wifi","lt","/Volumes/TRIKDIS/PRODUKTAI/Gator WiFi/_LT/Gator WiFI_UM_LT_2025 03 25.docx","2025-10-30",""
"Controladores","GATOR_WIFI","Gator Wifi","es","/Volumes/TRIKDIS/PRODUKTAI/Gator WiFi/_ESP/Gator WiFi_UM_ESP_2025 03 25.docx","2025-10-30",""
"Контроллеры","GATOR_WIFI","Wi-Fi контроллер GATOR","ru","/Volumes/TRIKDIS/PRODUKTAI/Gator WiFi/_RU/Gator WiFi_UM_RU_2025 03 25.docx","2025-10-30",""
"Future","TODO_KEYPADS","Keypads","","","2025-10-30","Inventory needed: e.g., SK LCD, SK LED, wireless keypad"
"Future","TODO_SENSORS","Wireless sensors","","","2025-10-30","Large catalog; identify manuals"
"Future","TODO_RECEIVERS","Receivers","","","2025-10-30","Inventory needed"
"Future","TODO_MONITORING","Monitoring software","","","2025-10-30","Check IPcom Linux/Windows manuals"
"Future","TODO_ACCESSORIES","Accessories","","","2025-10-30","Assess demand before adding"
